label,width,depth,compute_ms,nodes,elo,elo_lo,elo_hi,on_front
w4d2,4,2,0.348,4,0.0,0.0,89.76004610916169,True
w4d3,4,3,0.582,8,129.72256626708747,52.319208198674005,236.64573102041015,True
w4d4,4,4,0.861,12,281.764302723,207.837424627102,420.54386399308135,False
w4d5,4,5,1.105,16,403.15482167922903,319.30261331819526,537.8882994805357,True
w4d6,4,6,1.594,20,402.3864909518728,318.1592523512578,538.2979120632392,False
w4d7,4,7,1.998,24,437.1647594014413,347.8036832923595,588.5998152007159,False
w4d9,4,9,2.783,32,387.3955301051909,289.8780181748608,551.1991628457057,False
w6d2,6,2,0.486,6,110.57052684247782,43.706861751291285,203.0606704634814,True
w6d3,6,3,0.86,12,314.2641948568744,253.89348876474298,424.4861773617336,True
w6d4,6,4,1.275,18,409.71694047518815,339.4871837348245,532.6428089197249,True
w6d5,6,5,1.637,24,516.8722847531641,450.01111294285124,646.7971883218335,True
w6d6,6,6,2.323,30,580.4554604305001,502.4113346644317,720.981434824274,True
w6d7,6,7,2.961,36,622.1193710730068,538.9716116418356,766.692249901202,True
w6d9,6,9,4.163,48,646.0947226285709,555.7274948107097,797.7120248417906,False
w8d2,8,2,0.628,8,25.924448694420676,0.0,120.27253688426055,False
w8d3,8,3,1.095,16,340.27418897244513,278.6081307694759,450.387933421369,True
w8d4,8,4,1.689,24,476.6847775865908,415.22494058827107,591.4812856215016,False
w8d5,8,5,2.191,32,527.48911506482,453.2375175387069,666.5612576511112,True
w8d6,8,6,3.088,40,629.7461734146486,560.9430408512693,762.5719829086529,True
w8d7,8,7,4.041,48,722.1027228964609,650.384456585796,857.8960627719584,True
w8d9,8,9,5.47,64,739.6858919497992,671.2680632404823,894.1249852110234,True
w12d2,12,2,0.905,12,60.423591756696965,0.3759721627714219,173.13579547226627,False
w12d3,12,3,1.662,24,326.804913078583,268.5592348145777,446.71315174803243,False
w12d4,12,4,2.448,36,503.4558453932775,430.49413687763393,626.7748453112723,False
w12d5,12,5,3.306,48,610.1750795022324,547.6242444562224,729.2151043697177,False
w12d6,12,6,4.566,60,724.7468740097497,660.1473469719173,860.2580167876433,True
w12d7,12,7,5.996,72,790.3450334858209,720.6398375543251,922.9661915883892,True
w12d9,12,9,8.473,96,865.5174261455006,785.4806707622047,996.9630221503443,True
w16d2,16,2,1.183,16,78.9173892900584,10.50106843929084,195.20149142509123,False
w16d3,16,3,2.229,32,345.757511256351,275.82698181049636,470.44305786050967,False
w16d4,16,4,3.342,48,582.4405240353444,506.5105148987927,705.9777924976327,False
w16d5,16,5,4.411,64,672.8078497820118,603.0615637160988,798.433733053109,False
w16d6,16,6,6.28,80,794.0462011431895,738.9287751632918,925.0035274888111,True
w16d7,16,7,8.563,96,879.5802679869923,807.0697537195726,1013.0413148175343,True
w16d9,16,9,11.715,128,919.8891884413899,849.5167688756843,1059.7809452101865,True
w24d2,24,2,1.744,24,88.66370497391449,7.071369555122033,213.59982653445644,False
w24d3,24,3,3.27,48,364.55531546544097,298.01434794126243,485.4824958211043,False
w24d4,24,4,4.932,72,585.4117370470352,510.25004559599085,712.5489594715849,False
w24d5,24,5,6.608,96,703.4056801722196,636.3242418416762,837.5730577662057,False
w24d6,24,6,9.645,120,806.7967109717789,735.6132121145298,942.5542610358177,False
w24d7,24,7,12.341,144,904.1411780540916,838.8995927499159,1042.165845632115,False
w24d9,24,9,18.174,192,978.216945215374,901.7594604714304,1121.1010776190562,True
w32d2,32,2,2.349,32,86.06712518592605,5.8979581044422815,198.86120116619924,False
