a,b,a_wins,b_wins,draws,games
w4d2,w6d2,7,16,1,24
w4d2,w4d3,8,16,0,24
w4d2,w8d2,11,11,2,24
w4d2,w6d3,3,21,0,24
w4d3,w4d4,12,11,1,24
w6d2,w8d2,13,11,0,24
w4d3,w6d3,2,22,0,24
w6d2,w6d3,6,17,1,24
w4d3,w6d4,4,20,0,24
w4d3,w8d3,4,19,1,24
w4d4,w4d5,9,13,2,24
w6d2,w8d3,5,19,0,24
w6d2,w12d2,14,10,0,24
w4d4,w6d4,10,13,1,24
w8d2,w12d2,9,14,1,24
w8d2,w8d3,5,19,0,24
w6d3,w8d3,9,13,2,24
w6d3,w6d4,6,18,0,24
w4d5,w4d6,12,7,5,24
w4d4,w6d5,7,16,1,24
w4d4,w8d4,2,18,4,24
w8d2,w16d2,8,16,0,24
w4d5,w6d5,6,17,1,24
w6d3,w8d4,5,16,3,24
w4d6,w4d7,10,10,4,24
w8d2,w12d3,4,19,1,24
w6d3,w12d3,11,11,2,24
w6d4,w6d5,6,14,4,24
w4d5,w6d6,5,17,2,24
w6d4,w8d4,7,16,1,24
w8d3,w8d4,10,12,2,24
w12d2,w16d2,10,14,0,24
w4d5,w8d5,9,14,1,24
w4d6,w6d6,5,13,6,24
w8d3,w12d3,12,11,1,24
w12d2,w12d3,5,18,1,24
w4d7,w4d9,11,6,7,24
w6d4,w8d5,8,14,2,24
w4d6,w6d7,3,18,3,24
w6d5,w6d6,8,15,1,24
w4d7,w6d7,3,18,3,24
w6d5,w8d5,10,11,3,24
w4d6,w8d6,3,16,5,24
w6d4,w12d4,10,13,1,24
w8d3,w12d4,3,21,0,24
w8d3,w16d3,10,11,3,24
w8d4,w8d5,6,15,3,24
w12d2,w16d3,3,21,0,24
w12d2,w24d2,11,13,0,24
w6d5,w8d6,7,14,3,24
w6d6,w6d7,5,14,5,24
w8d4,w12d4,11,11,2,24
w16d2,w24d2,11,13,0,24
w16d2,w16d3,2,21,1,24
w4d7,w6d9,4,14,6,24
w4d7,w8d7,3,18,3,24
w6d6,w8d6,10,8,6,24
w12d3,w16d3,11,11,2,24
w12d3,w12d4,5,14,5,24
w8d5,w8d6,6,14,4,24
w4d9,w6d9,3,17,4,24
w6d5,w12d5,10,13,1,24
w6d6,w8d7,5,15,4,24
w8d4,w12d5,5,17,2,24
w6d7,w6d9,7,13,4,24
w8d4,w16d4,10,12,2,24
